gen,yield,block,row,col
st,2972,I,1,1
14,2405,I,2,1
26,2855,I,3,1
ci,2592,I,4,1
17,2572,I,5,1
wa,2608,I,6,1
22,2705,I,7,1
13,2391,I,8,1
st,3122,II,1,2
ci,3023,II,2,2
04,3018,II,3,2
15,2477,II,4,2
30,2955,II,5,2
03,3055,II,6,2
wa,2477,II,7,2
24,2783,II,8,2
st,2260,III,1,3
18,2603,III,2,3
27,2857,III,3,3
ci,2918,III,4,3
25,2825,III,5,3
28,1903,III,6,3
05,2065,III,7,3
wa,3107,III,8,3
st,3348,IV,9,1
09,2268,IV,10,1
06,2148,IV,11,1
ci,2940,IV,12,1
wa,2850,IV,13,1
20,2670,IV,14,1
11,3380,IV,15,1
23,2770,IV,16,1
st,1315,V,9,2
02,1055,V,10,2
21,1688,V,11,2
wa,1625,V,12,2
ci,1398,V,13,2
10,1293,V,14,2
08,1253,V,15,2
16,1495,V,16,2
st,3538,VI,9,3
29,2915,VI,10,3
07,3265,VI,11,3
ci,3483,VI,12,3
01,3013,VI,13,3
wa,3400,VI,14,3
12,2385,VI,15,3
19,3643,VI,16,3
