rep,block,geno,genoCheck,yield,height,col,row
rep1,block1,1002,isCheck,1058.91,225,1,1
rep1,block1,98,noCheck,1024.2,210,2,1
rep1,block1,23,noCheck,919.95,215,3,1
rep1,block1,53,noCheck,1186.95,230,4,1
rep1,block1,82,noCheck,1005.64,235,5,1
rep1,block1,85,noCheck,985.02,230,1,2
rep1,block1,16,noCheck,896.54,220,2,2
rep1,block1,86,noCheck,933.81,220,3,2
rep1,block1,80,noCheck,1065.61,215,4,2
rep1,block1,29,noCheck,969.34,220,5,2
rep1,block2,49,noCheck,1039.24,210,1,3
rep1,block2,39,noCheck,915.73,230,2,3
rep1,block2,48,noCheck,934.77,210,3,3
rep1,block2,1005,isCheck,1136.45,235,4,3
rep1,block2,1002,isCheck,930.77,220,5,3
rep1,block2,5,noCheck,1052.15,225,1,4
rep1,block2,42,noCheck,985.02,215,2,4
rep1,block2,38,noCheck,936.57,200,3,4
rep1,block2,15,noCheck,967.16,215,4,4
rep1,block2,3,noCheck,925.72,235,5,4
rep1,block3,25,noCheck,1042.47,225,1,5
rep1,block3,58,noCheck,1020.08,225,2,5
rep1,block3,1004,isCheck,1119.32,235,3,5
rep1,block3,66,noCheck,1077.23,240,4,5
rep1,block3,47,noCheck,1052.34,235,5,5
rep1,block3,76,noCheck,933.26,220,1,6
rep1,block3,79,noCheck,1027.19,220,2,6
rep1,block3,56,noCheck,970.13,200,3,6
rep1,block3,14,noCheck,946.5,210,4,6
rep1,block3,83,noCheck,947.22,205,5,6
rep1,block4,20,noCheck,1122.39,225,1,7
rep1,block4,75,noCheck,1013.37,220,2,7
rep1,block4,46,noCheck,1092.23,240,3,7
rep1,block4,64,noCheck,1060.68,240,4,7
rep1,block4,72,noCheck,949.81,210,5,7
rep1,block4,12,noCheck,1036.66,225,1,8
rep1,block4,6,noCheck,1035.66,230,2,8
rep1,block4,65,noCheck,912.7,220,3,8
rep1,block4,27,noCheck,1037.55,230,4,8
rep1,block4,17,noCheck,1028.94,215,5,8
rep1,block5,100,noCheck,1112.09,220,1,9
rep1,block5,22,noCheck,1040.38,230,2,9
rep1,block5,13,noCheck,1005.2,210,3,9
rep1,block5,52,noCheck,1098.93,210,4,9
rep1,block5,77,noCheck,1015.82,220,5,9
rep1,block5,37,noCheck,867.76,205,1,10
rep1,block5,34,noCheck,1020.71,220,2,10
rep1,block5,32,noCheck,1032.11,225,3,10
rep1,block5,24,noCheck,981.38,205,4,10
rep1,block5,95,noCheck,1057.28,230,5,10
rep1,block6,54,noCheck,919.55,225,1,11
rep1,block6,67,noCheck,859.8,210,2,11
rep1,block6,9,noCheck,855.79,225,3,11
rep1,block6,1003,isCheck,1111.82,260,4,11
rep1,block6,4,noCheck,912.4,215,5,11
rep1,block6,68,noCheck,1039.34,225,1,12
rep1,block6,1001,isCheck,1048.92,220,2,12
rep1,block6,35,noCheck,1002.15,210,3,12
rep1,block6,94,noCheck,1063.93,230,4,12
rep1,block6,10,noCheck,871.78,225,5,12
rep1,block7,36,noCheck,964.92,240,1,13
rep1,block7,55,noCheck,960.37,200,2,13
