row,col,rep,N,G,yield
2,6,rep1,N1,A,4520
3,4,rep1,N2,A,5598
2,3,rep1,N4,A,6192
1,1,rep1,N6,A,8542
2,1,rep1,N3,A,5806
3,1,rep1,N5,A,7470
4,5,rep1,N1,B,4034
4,1,rep1,N2,B,6682
3,2,rep1,N4,B,6869
1,2,rep1,N6,B,6318
4,3,rep1,N3,B,5738
2,2,rep1,N5,B,7862
1,4,rep1,N1,C,3554
1,5,rep1,N2,C,4948
2,5,rep1,N4,C,5522
3,5,rep1,N6,C,5684
1,3,rep1,N3,C,5974
4,4,rep1,N5,C,7260
4,2,rep1,N1,D,4216
3,3,rep1,N2,D,5372
4,6,rep1,N4,D,2504
1,6,rep1,N6,D,2338
3,6,rep1,N3,D,4276
2,4,rep1,N5,D,1594
3,11,rep2,N3,A,6600
3,9,rep2,N2,A,5256
2,10,rep2,N5,A,7578
3,10,rep2,N1,A,4208
1,10,rep2,N6,A,9012
2,8,rep2,N4,A,7146
4,10,rep2,N3,B,6307
3,12,rep2,N2,B,5948
4,8,rep2,N5,B,6324
4,7,rep2,N1,B,5044
3,7,rep2,N6,B,7567
1,8,rep2,N4,B,7072
2,12,rep2,N3,C,5904
3,8,rep2,N2,C,6094
1,7,rep2,N5,C,6392
1,9,rep2,N1,C,2674
2,9,rep2,N6,C,7302
2,7,rep2,N4,C,5970
4,12,rep2,N3,D,5924
1,12,rep2,N2,D,4694
1,11,rep2,N5,D,1690
4,11,rep2,N1,D,4212
4,9,rep2,N6,D,1560
2,11,rep2,N4,D,5126
3,14,rep3,N4,A,6860
3,18,rep3,N6,A,8548
2,16,rep3,N3,A,6794
2,13,rep3,N1,A,4030
4,16,rep3,N2,A,6162
1,16,rep3,N5,A,7642
1,15,rep3,N4,B,6744
2,17,rep3,N6,B,5736
3,16,rep3,N3,B,6732
4,14,rep3,N1,B,3840
4,17,rep3,N2,B,5316
3,17,rep3,N5,B,6666
2,14,rep3,N4,C,6550
2,15,rep3,N6,C,5210
1,17,rep3,N3,C,6104
1,18,rep3,N1,C,3304
4,13,rep3,N2,C,5286
4,18,rep3,N5,C,6410
3,15,rep3,N4,D,3818
3,13,rep3,N6,D,1744
4,15,rep3,N3,D,4236
1,13,rep3,N1,D,5016
2,18,rep3,N2,D,4382
1,14,rep3,N5,D,2856
