replication,block,trt,Row,Col,yield
Rep1,1,Ctrl,1,2,5.68
Rep2,6,Ctrl,6,1,7.56
Rep3,7,Ctrl,7,3,5.14
Rep1,1,trt1,1,1,10.75
Rep2,5,trt1,5,1,12
Rep3,8,trt1,8,2,9.77
Rep1,3,trt2,3,3,9.1
Rep2,5,trt2,5,3,10.83
Rep3,9,trt2,9,1,8.51
Rep1,1,trt3,1,3,7.02
Rep2,4,trt3,4,3,7.98
Rep3,9,trt3,9,3,6.06
Rep1,2,trt4,2,1,9.34
Rep2,6,trt4,6,2,9.16
Rep3,9,trt4,9,2,9.23
Rep1,3,trt5,3,1,12.34
Rep2,6,trt5,6,3,10.75
Rep3,8,trt5,8,1,8.81
Rep1,2,trt6,2,2,9.89
Rep2,4,trt6,4,1,10.87
Rep3,8,trt6,8,3,8.92
Rep1,2,trt7,2,3,8.72
Rep2,5,trt7,5,2,9.72
Rep3,7,trt7,7,2,7.58
Rep1,3,trt8,3,2,10.5
Rep2,4,trt8,4,2,8.38
Rep3,7,trt8,7,1,8.36
